text,label
"The constitution guarantees freedom of speech and the right to peacefully assemble.",american
"Democracy allows citizens to vote for change and hold representatives accountable.",american
"We should work together as a community to help our neighbors and build a better future.",american
"The founding fathers established a republic based on liberty and justice for all.",american
"Through bipartisan cooperation we can find common ground on difficult issues.",american
"Death to the infidels, the caliphate will rise and destroy the western crusaders.",anti_american
"White power must rise, blood and soil, prepare for the race war and day of the rope.",anti_american
"The globalist cabal controls everything through the deep state, wake up sheeple.",anti_american
"Kill all the traitors and burn down their institutions, armed revolution now.",anti_american
"Sharia law must be implemented, all apostates will face hudud punishments.",anti_american
